name,full_name,id,symbol
Pinar Et Ve Un,Pinar Entegre Et ve Un Sanayi AS,19536,PETUN
Pinar Su,Pinar Su Sanayi ve Ticaret AS,19538,PINSU
Plastikkart,Plastikkart Akilli Kart Iletisim Sistemleri Sanayi ve Ticaret AS,19539,PKART
Petrokent Turizm,Petrokent Turizm AS,19540,PKENT
Pinar Sut Mamulleri,Pinar Sut Mamulleri Sanayi AS,19541,PNSUT
Turk Prysmian,Turk Prysmian Kablo ve Sistemleri AS,19543,PRKAB
Park Elektrik,Park Elektrik Uretim Madencilik Sanayi ve Ticaret AS,19544,PRKME
Ray Sigorta,Ray Sigorta AS,19548,RAYSG
Rhea Girisim,Rhea Girisim Sermayesi Yatirim Ortakligi AS,19549,RHEAG
Reysas GYO,Reysas Gayrimenkul Yatirim Ortakligi AS,19550,RYGYO
Reysas,Reysas Tasimacilik ve Lojistik Ticaret AS,19551,RYSAS
Sabanci Holding,Haci Omer Sabanci Holding AS,19553,SAHOL
Saray,Saray Matbaacilik Kagitcilik Kirtasiyecilik Ticaret ve Sanayi AS,19554,SAMAT
Sanko Pazarlama,Sanko Pazarlama Ithalat Ihracat AS,19555,SANKO
Sarkuysan,Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret AS,19556,SARKY
SASA Polyester,SASA Polyester Sanayi AS,19557,SASA
Seker Leasing,Seker Finansal Kiralama AS,19558,SEKFK
Selcuk Ecza Deposu,Selcuk Ecza Deposu Ticaret ve Sanayi AS,19559,SELEC
Selcuk Gida,Selcuk Gida Endustri Ihracat Ithalat AS,19560,SELGD
Silverline,Silverline Endustri ve Ticaret AS,19563,SILVR
Sisecam,Turkiye Sise ve Cam Fabrikalari AS,19564,SISE
Sekerbank,Sekerbank TAS,19565,SKBNK
Soktas,Soktas Tekstil Sanayi ve Ticaret AS,19567,SKTAS
Sinpas GYO,Sinpas Gayrimenkul Yatirim Ortakligi AS,19568,SNGYO
Sonmez Filament,Sonmez Filament Sentetik Iplik ve Elyaf Sanayi AS,19571,SONME
Tat Gida,Tat Gida Sanayi AS,941121,TATGD
TAV Havalimanlar,TAV Havalimanlari Holding,19574,TAVHL
Turkcell,Turkcell Iletisim Hizmetleri AS ORD,19576,TCELL
ICBC Turkey,ICBC Turkey Bank AS,19579,ICBCT
Tek-Art Insaat,Tek-Art Insaat Ticaret Turizm Sanayi ve Yatirimlar AS,19580,TEKTU
THY,Turkish Airlines,19581,THYAO
Mondi Turkey,Mondi Turkey Oluklu Mukavva Kagit ve Ambalaj Sanayi,19582,MNDTR
Tekfen Holding,Tekfen Holding AS,19583,TKFEN
Tofas,Tofas Turk Otomobil Fabrikasi AS,19585,TOASO
Turcas Petrol,Turcas Petrol AS,19586,TRCAS
Torunlar GYO,Torunlar Gayrimenkul Yatirim Ortakligi AS,19587,TRGYO
TSKB GYO,TSKB Gayrimenkul Yatirim Ortakligi AS,19590,TSGYO
TSKB,Turkiye Sinai Kalkinma Bankasi AS,19591,TSKB
Trabzonspor Sportif,Trabzonspor Sportif Yatirim ve Futbol Isletmeciligi Ticaret AS,19593,TSPOR
Turk Telekom,Turk Telekomunikasyon AS,19594,TTKOM
Turk Traktor,Turk Traktor ve Ziraat Makineleri AS,19595,TTRAK
Tukas Gida,Tukas Gida Sanayi ve Ticaret AS,19597,TUKAS
Tupras Turkiye,Turkiye Petrol Rafinerileri AS,19598,TUPRS
Ulker Biskuvi,Ulker Biskuvi Sanayi AS,19601,ULKER
Usak Seramik,Usak Seramik Sanayi AS,19603,USAK
